ChargeThreshold_fC,Probability,CrossSection_cm2
0.00019465843188654812,0.9919501257744151,9.919501257744151e-07
0.00020229487709954116,0.991950124798543,9.91950124798543e-07
0.00021023089985934722,0.991950124798543,9.91950124798543e-07
0.00021847825258532527,0.991950124798543,9.91950124798543e-07
0.00022704914874393953,0.991950124798543,9.91950124798543e-07
0.00023595628093562573,0.991950124798543,9.91950124798543e-07
0.0002452128396912038,0.991950124798543,9.91950124798543e-07
0.00025483253300567424,0.991950124798543,9.91950124798543e-07
0.0002648296066383246,0.991950124798543,9.91950124798543e-07
0.0002752188652092081,0.991950124798543,9.91950124798543e-07
0.0002860156941232371,0.991950124798543,9.91950124798543e-07
0.000297236082354358,0.991950124798543,9.91950124798543e-07
0.00030889664612354867,0.991950123835262,9.91950123835262e-07
0.000321014653505703,0.991950123835262,9.91950123835262e-07
0.0003336080500018434,0.991950123835262,9.91950123835262e-07
0.00034669548511453,0.991950123835262,9.91950123835262e-07
0.00036029633996582255,0.991950123835262,9.91950123835262e-07
0.0003744307559986944,0.991950123835262,9.91950123835262e-07
0.00038911966480440245,0.991950123835262,9.91950123835262e-07
0.000404384819119983,0.991950122858434,9.91950122858434e-07
0.00042024882504177965,0.991950122858434,9.91950122858434e-07
0.0004367351755027073,0.991950122858434,9.91950122858434e-07
0.000453868285062827,0.991950122858434,9.91950122858434e-07
0.00047167352606475505,0.991950122858434,9.91950122858434e-07
0.0004901772662074479,0.991950122858434,9.91950122858434e-07
0.000509406907594005,0.991950122858434,9.91950122858434e-07
0.0005293909273113171,0.991950122858434,9.91950122858434e-07
0.0005501589196016517,0.991950122858434,9.91950122858434e-07
0.00057174163968863,0.991950122858434,9.91950122858434e-07
0.0005941710493224945,0.991950122858434,9.91950122858434e-07
0.0006174803641121169,0.991950122858434,9.91950122858434e-07
0.0006417041027138406,0.991950122858434,9.91950122858434e-07
0.000666878137949998,0.991950122858434,9.91950122858434e-07
0.0006930397499328073,0.991950121855984,9.91950121855984e-07
0.0007202276812723179,0.9919501208867629,9.91950120886763e-07
0.0007484821944501626,0.9919501208867629,9.91950120886763e-07
0.0007778451314440801,0.991950118932621,9.919501189326209e-07
0.0008083599756915055,0.9919501179713589,9.91950117971359e-07
0.0008400719164839924,0.9919501179713589,9.91950117971359e-07
0.0008730279158878251,0.9919501150326909,9.919501150326908e-07
0.0009072767782899247,0.9919501150326909,9.919501150326908e-07
0.0009428692226720406,0.9919491002126909,9.919491002126908e-07
0.0009798579577202553,0.9919490982756589,9.919490982756588e-07
0.0010182977598810327,0.9919490972881209,9.91949097288121e-07
0.001058245554479405,0.9919490963237579,9.919490963237578e-07
0.0010997605000194234,0.9919490963237579,9.919490963237578e-07
0.0011429040757917118,0.9919490963237579,9.919490963237578e-07
0.0011877401729178646,0.9919490953428719,9.919490953428718e-07
0.0012343351889665115,0.9919490943542878,9.919490943542878e-07
0.0012827581262811708,0.9919490943542878,9.919490943542878e-07
0.0013330806941655,0.9919490923967198,9.919490923967197e-07
0.0013853774150772707,0.9919480748460778,9.919480748460778e-07
0.0014397257349883313,0.9919480729058328,9.919480729058328e-07
0.0014962061380739903,0.9919480719262007,9.919480719262006e-07
0.0015549022659016567,0.9919480719262007,9.919480719262006e-07
0.0016159010412952505,0.9919480719262007,9.919480719262006e-07
0.0016792927970588102,0.9919470563406957,9.919470563406957e-07
0.001745171409749924,0.9919470534005927,9.919470534005927e-07
0.001813634438701089,0.9919470534005927,9.919470534005927e-07
0.0018847832704948755,0.9919470524220037,9.919470524220037e-07
0.0019587232691068474,0.9919470514500337,9.919470514500336e-07
0.0020355639319385855,0.9919470475610527,9.919470475610527e-07
0.002115419051971883,0.9919470455997796,9.919470455997796e-07
0.002198406886284244,0.9919460300939738,9.919460300939737e-07
0.0022846503311752453,0.9919460291168978,9.919460291168977e-07
0.0023742771041630937,0.9919460291168978,9.919460291168977e-07
0.0024674199331209097,0.9919460252018838,9.919460252018837e-07
0.0025642167528328185,0.9919460252018838,9.919460252018837e-07
0.0026648109092609323,0.9919460252018838,9.919460252018837e-07
0.0027693513718257266,0.9919460242219948,9.91946024221995e-07
0.0028779929540141617,0.9919460222993138,9.919460222993138e-07
0.0029908965426422582,0.9919460203574018,9.919460203574018e-07
0.003108229336111641,0.9919460203574018,9.919460203574018e-07
0.003230165092012872,0.9919460193791948,9.919460193791948e-07
0.003356884384442267,0.9919460174367408,9.919460174367407e-07
0.003488574871413239,0.9919460164606668,9.919460164606667e-07
0.003625431572758178,0.9919460164597417,9.919460164597416e-07
0.0037676571589324195,0.9919460164597417,9.919460164597416e-07
0.003915462251147984,0.9919460154972316,9.919460154972316e-07
0.004069065733281553,0.9919460116186986,9.919460116186986e-07
0.00422869507601859,0.9919460096854236,9.919460096854236e-07
0.004394586673713625,0.9919460067558036,9.919460067558035e-07
0.004566986194465556,0.9919449872625106,9.919449872625106e-07
0.004746148943926408,0.9919449823292276,9.919449823292276e-07
0.00493234024338228,0.9919429471724436,9.919429471724434e-07
0.005125835822666417,0.9919429452136006,9.919429452136005e-07
0.005326922228486243,0.9919429432569876,9.919429432569875e-07
0.005535897248769046,0.9919429374160266,9.919429374160266e-07
0.005753070353654749,0.9919429354717996,9.919429354717994e-07
0.005978763153788803,0.9919429354717996,9.919429354717994e-07
0.006213309876593906,0.9919429305960316,9.919429305960315e-07
0.006457057861225839,0.9919419103346675,9.919419103346676e-07
0.006710368072946417,0.9919419063858169,9.91941906385817e-07
0.00697361563767528,0.9919419044267109,9.919419044267108e-07
0.007247190397512123,0.991940885077567,9.91940885077567e-07
0.007531497488052057,0.9919408811585899,9.9194088115859e-07
0.007826957938349045,0.991939864376517,9.91939864376517e-07
0.00813400929441586,0.991939862430696,9.919398624306959e-07
0.00845310626718396,0.991938838957202,9.91938838957202e-07
0.00878472140588281,0.991938836017473,9.91938836017473e-07
0.009129345797835838,0.991938830167059,9.919388301670588e-07
0.009487489795709372,0.991937808136434,9.919378081364338e-07
0.009859683773291557,0.991937804216681,9.919378042166809e-07
0.010246478910920427,0.9919377973745459,9.919377973745459e-07
0.010648448011724326,0.991936776590067,9.919367765900668e-07
0.011066186349883397,0.991936773656699,9.91936773656699e-07
0.011500312552168376,0.991936767793274,9.91936767793274e-07
0.011951469514062096,0.9919367638975289,9.919367638975289e-07
0.012420325351820435,0.991936758030884,9.91936758030884e-07
0.012907574391882592,0.991935737427464,9.91935737427464e-07
0.013413938199095893,0.991934715721415,9.91934715721415e-07
0.013940166645277828,0.991933693173768,9.919336931737679e-07
0.014487039019697761,0.9919326706047019,9.919326706047018e-07
0.015055365183122794,0.991931646123841,9.919316461238409e-07
0.015645986767136827,0.9919306222199369,9.919306222199369e-07
0.016259778420508877,0.991930612460834,9.91930612460834e-07
0.01689764910445639,0.991928570502385,9.91928570502385e-07
0.017560543438721696,0.9919285636502451,9.919285636502451e-07
0.018249443100455023,0.9919275315630701,9.9192753156307e-07
0.01896536827797562,0.9919275198332841,9.91927519833284e-07
0.019709379181563947,0.9919275139539251,9.91927513953925e-07
0.020482577613522138,0.9919254616828892,9.91925461682889e-07
0.021286108599827953,0.9919254528592741,9.91925452859274e-07
0.02212116208579843,0.991925443047546,9.91925443047546e-07
0.02298897469827439,0.9919254352221241,9.91925435222124e-07
0.02389083157693543,0.9919254215203701,9.9192542152037e-07
0.024828068277457312,0.9919223465771541,9.91922346577154e-07
0.025802072749330156,0.9919213163652679,9.91921316365268e-07
0.02681428739126644,0.99192029080181,9.9192029080181e-07
0.027866211187242557,0.991919267277273,9.91919267277273e-07
0.02895940192633726,0.991918236124812,9.91918236124812e-07
0.030095478509654286,0.9919182204892901,9.9191822048929e-07
0.03127612334774551,0.9919171736174631,9.91917173617463e-07
0.03250308485208494,0.9919151113340351,9.919151113340351e-07
0.033778180024283164,0.991906861520888,9.91906861520888e-07
0.03510329714687661,0.9919006888024401,9.9190068880244e-07
0.036480398579676464,0.9918944834947251,9.91894483494725e-07
0.03791152366581819,0.9918851833237461,9.91885183323746e-07
0.03939879175181532,0.991866612677716,9.91866612677716e-07
0.040944405326089936,0.991844937245774,9.91844937245774e-07
0.04255065328062754,0.9918160223978311,9.918160223978311e-07
0.044219914300586624,0.991772660095902,9.91772660095902e-07
0.04595466038688248,0.991707653974605,9.917076539746049e-07
0.047757460516961926,0.991622018602196,9.91622018602196e-07
0.04963098444919011,0.991496158257975,9.914961582579749e-07
0.051578006676483344,0.991332053211372,9.913320532113718e-07
0.05360141053504273,0.9911132537363511,9.91113253736351e-07
0.05570419247427342,0.9908665654237954,9.908665654237954e-07
0.05788946649421278,0.9905404256454373,9.905404256454373e-07
0.060160468757038475,0.9901193074134013,9.901193074134013e-07
0.06252056237948612,0.9895640194902703,9.895640194902703e-07
0.06497324241327332,0.9888828922459862,9.888828922459862e-07
0.06752214102090547,0.9880974519999673,9.880974519999674e-07
0.07017103285452846,0.9871685930512093,9.871685930512092e-07
0.07292384064579358,0.9859341739197143,9.859341739197142e-07
0.07578464101501263,0.9843901175954174,9.843901175954172e-07
0.07875767050820603,0.9824662888800773,9.824662888800772e-07
0.08184733187098435,0.9800842363279063,9.800842363279063e-07
0.08505820056855364,0.9772747820693771,9.77274782069377e-07
0.08839503156150083,0.9737636338281375,9.737636338281373e-07
0.09186276634739293,0.9692895629789553,9.692895629789552e-07
0.09546654027861777,0.9640590974689217,9.640590974689216e-07
0.09921169016730357,0.9576531488406858,9.576531488406857e-07
0.10310376218857938,0.9500108518596497,9.500108518596497e-07
0.10714852009388004,0.9410857301418926,9.410857301418925e-07
0.11135195374645918,0.930659160818873,9.306591608188729e-07
0.11572028799174976,0.9183711817637203,9.183711817637203e-07
